material_line,mu,part_number,OD_mm,ID_mm,HT_mm,Ae_mm2,Le_mm,Ve_cm3,Wa_mm2,Ap_mm4,AL_min_nH,AL_nom_nH,AL_max_nH,AL_tolerance_pct,MLT_0wf,MLT_20wf,MLT_25wf,MLT_30wf,MLT_35wf,MLT_40wf,MLT_45wf,MLT_50wf,MLT_60wf,MLT_70wf,wound_OD_40wf_mm,wound_HT_40wf_mm,wound_OD_max_mm,wound_HT_max_mm,SA_core_mm2,SA_40wf_mm2,awg_sl_min,awg_sl_max,awg_sl_count,awg_sl_turns_rdc,note,coated,coating_note,datasheet_url,data_source
MPP,200,0055399A2,40.94,21.27,17.89,153.0,94.0,14.6,355.0,54315.0,374,406.0,438,8,55.5,60.2,62.5,64.0,65.1,66.6,68.3,69.7,73.1,76.8,45.3,24.5,47.5,33.3,5400.0,7500.0,8,27,17,AWG8:16T/0.00227ohm; AWG9:19T/0.00333ohm; AWG13:31T/0.0128ohm; AWG14:35T/0.0181ohm; AWG15:40T/0.0257ohm; AWG16:45T/0.0362ohm; AWG17:51T/0.051ohm; AWG18:57T/0.0714ohm; AWG19:65T/0.102ohm; AWG20:72T/0.141ohm; AWG21:81T/0.199ohm; AWG22:92T/0.285ohm; AWG23:102T/0.394ohm; AWG24:114T/0.554ohm; AWG25:129T/0.787ohm; AWG26:144T/1.11ohm; AWG27:160T/1.54ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055399A2.pdf,MagInc_2025_catalog
MPP,300,0055400A2,40.94,21.27,17.89,153.0,94.0,14.6,355.0,54315.0,560,609.0,658,8,55.5,60.2,62.5,64.0,65.1,66.6,68.3,69.7,73.1,76.8,45.3,24.5,47.5,33.3,5400.0,7500.0,8,27,17,AWG8:16T/0.00227ohm; AWG9:19T/0.00333ohm; AWG13:31T/0.0128ohm; AWG14:35T/0.0181ohm; AWG15:40T/0.0257ohm; AWG16:45T/0.0362ohm; AWG17:51T/0.051ohm; AWG18:57T/0.0714ohm; AWG19:65T/0.102ohm; AWG20:72T/0.141ohm; AWG21:81T/0.199ohm; AWG22:92T/0.285ohm; AWG23:102T/0.394ohm; AWG24:114T/0.554ohm; AWG25:129T/0.787ohm; AWG26:144T/1.11ohm; AWG27:160T/1.54ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055400A2.pdf,MagInc_2025_catalog
Kool Mu,14,0077446A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,23,25.0,27,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077446A7.pdf,MagInc_2025_catalog
Kool Mu MAX,14,0079446A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,23,25.0,27,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0079446A7.pdf,MagInc_2025_catalog
EDGE,14,0059446A2,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,23,25.0,27,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0059446A2.pdf,MagInc_2025_catalog
High Flux,14,0058446A2,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,23,25.0,27,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058446A2.pdf,MagInc_2025_catalog
MPP,14,0055446A2,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,23,25.0,27,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055446A2.pdf,MagInc_2025_catalog
Kool Mu,19,0077447A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,32,35.0,38,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077447A7.pdf,MagInc_2025_catalog
Kool Mu MAX,19,0079447A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,32,35.0,38,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0079447A7.pdf,MagInc_2025_catalog
XFlux,19,0078447A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,32,35.0,38,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0078447A7.pdf,MagInc_2025_catalog
EDGE,19,0059447A2,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,32,35.0,38,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0059447A2.pdf,MagInc_2025_catalog
MPP,19,0055447A2,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,32,35.0,38,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055447A2.pdf,MagInc_2025_catalog
Kool Mu,26,0077448A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,43,47.0,51,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077448A7.pdf,MagInc_2025_catalog
Kool Mu MAX,26,0079448A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,43,47.0,51,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0079448A7.pdf,MagInc_2025_catalog
Kool Mu Hf,26,0076448A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,43,47.0,51,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0076448A7.pdf,MagInc_2025_catalog
Kool Mu Ultra,26,0070448A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,43,47.0,51,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0070448A7.pdf,MagInc_2025_catalog
XFlux,26,0078448A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,43,47.0,51,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0078448A7.pdf,MagInc_2025_catalog
XFlux Ultra,26,0074448A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,43,47.0,51,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0074448A7.pdf,MagInc_2025_catalog
EDGE,26,0059448A2,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,43,47.0,51,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0059448A2.pdf,MagInc_2025_catalog
High Flux,26,0058448A2,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,43,47.0,51,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058448A2.pdf,MagInc_2025_catalog
MPP,26,0055448A2,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,43,47.0,51,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055448A2.pdf,MagInc_2025_catalog
Kool Mu,40,0077450A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,66,72.0,78,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077450A7.pdf,MagInc_2025_catalog
Kool Mu MAX,40,0079450A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,66,72.0,78,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0079450A7.pdf,MagInc_2025_catalog
Kool Mu Hf,40,0076450A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,66,72.0,78,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0076450A7.pdf,MagInc_2025_catalog
Kool Mu Ultra,40,0070450A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,66,72.0,78,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0070450A7.pdf,MagInc_2025_catalog
XFlux,40,0078450A7,43.84,23.39,17.27,147.5,102.0,15.1,430.0,63400.0,66,72.0,78,8,55.0,61.1,62.5,63.8,65.6,67.1,68.9,70.8,74.2,78.5,47.6,24.6,59.4,36.7,5800.0,8400.0,8,27,18,AWG8:18T/0.0025ohm; AWG9:21T/0.0037ohm; AWG11:27T/0.0072ohm; AWG12:31T/0.0103ohm; AWG14:39T/0.02ohm; AWG15:44T/0.0281ohm; AWG16:50T/0.0399ohm; AWG17:56T/0.0556ohm; AWG18:63T/0.0784ohm; AWG19:71T/0.11ohm; AWG20:80T/0.156ohm; AWG21:90T/0.219ohm; AWG22:101T/0.31ohm; AWG23:113T/0.433ohm; AWG24:126T/0.608ohm; AWG25:142T/0.86ohm; AWG26:159T/1.22ohm; AWG27:176T/1.68ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0078450A7.pdf,MagInc_2025_catalog
